
['barbour hall', 'barbour fl 1 a', 'pbarbour 140', 'barbour 140 141', 'barbour 140 141-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']
['chen family hall', 'chen fl 5', 'chen 519', 'chen 519 519b', 'chen 519 519b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 5', 'chen 519', 'chen 519 519c', 'chen 519 519c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 5', 'chen 519', 'chen 519 519d', 'chen 519 519d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 1', 'danoff 114', 'danoff 114 114a', 'danoff 114 114a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 1', 'danoff 114', 'danoff 114 114b', 'danoff 114 114b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 1', 'danoff 114', 'danoff 114 114c', 'danoff 114 114c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 1', 'danoff 114', 'danoff 114 114d', 'danoff 114 114d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 1', 'danoff 120', 'danoff 120 120a', 'danoff 120 120a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 1', 'danoff 120', 'danoff 120 120b', 'danoff 120 120b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 1', 'danoff 120', 'danoff 120 120c', 'danoff 120 120c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 1', 'danoff 120', 'danoff 120 120d', 'danoff 120 120d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 1', 'danoff 124', 'danoff 124 124a', 'danoff 124 124a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 1', 'danoff 124', 'danoff 124 124b', 'danoff 124 124b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 1', 'danoff 124', 'danoff 124 124c', 'danoff 124 124c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 1', 'danoff 124', 'danoff 124 124d', 'danoff 124 124d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 2', 'danoff 205', 'danoff 205 205c', 'danoff 205 205c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 2', 'danoff 205', 'danoff 205 205d', 'danoff 205 205d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 2', 'danoff 211', 'danoff 211 211c', 'danoff 211 211c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 2', 'danoff 211', 'danoff 211 211d', 'danoff 211 211d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 2', 'danoff 215', 'danoff 215 215a', 'danoff 215 215a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 2', 'danoff 215', 'danoff 215 215b', 'danoff 215 215b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 2', 'danoff 215', 'danoff 215 215c', 'danoff 215 215c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 2', 'danoff 215', 'danoff 215 215d', 'danoff 215 215d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 2', 'danoff 219', 'danoff 219 219a', 'danoff 219 219a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 2', 'danoff 219', 'danoff 219 219b', 'danoff 219 219b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 2', 'danoff 219', 'danoff 219 219c', 'danoff 219 219c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 2', 'danoff 219', 'danoff 219 219d', 'danoff 219 219d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 2', 'danoff 220', 'danoff 220 220a', 'danoff 220 220a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 2', 'danoff 220', 'danoff 220 220b', 'danoff 220 220b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 2', 'danoff 220', 'danoff 220 220c', 'danoff 220 220c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 2', 'danoff 220', 'danoff 220 220d', 'danoff 220 220d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 3', 'danoff 304', 'danoff 304 304a', 'danoff 304 304a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 3', 'danoff 304', 'danoff 304 304b', 'danoff 304 304b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 3', 'danoff 304', 'danoff 304 304c', 'danoff 304 304c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 3', 'danoff 304', 'danoff 304 304d', 'danoff 304 304d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 3', 'danoff 314', 'danoff 314 314a', 'danoff 314 314a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 3', 'danoff 314', 'danoff 314 314b', 'danoff 314 314b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 3', 'danoff 314', 'danoff 314 314c', 'danoff 314 314c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 3', 'danoff 314', 'danoff 314 314d', 'danoff 314 314d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 3', 'danoff 319', 'danoff 319 319a', 'danoff 319 319a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 3', 'danoff 319', 'danoff 319 319b', 'danoff 319 319b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 3', 'danoff 319', 'danoff 319 319c', 'danoff 319 319c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 3', 'danoff 319', 'danoff 319 319d', 'danoff 319 319d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 3', 'danoff 320', 'danoff 320 320a', 'danoff 320 320a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 3', 'danoff 320', 'danoff 320 320b', 'danoff 320 320b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 3', 'danoff 320', 'danoff 320 320c', 'danoff 320 320c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 3', 'danoff 320', 'danoff 320 320d', 'danoff 320 320d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 4', 'danoff 404', 'danoff 404 404a', 'danoff 404 404a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 4', 'danoff 404', 'danoff 404 404b', 'danoff 404 404b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 4', 'danoff 404', 'danoff 404 404c', 'danoff 404 404c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 4', 'danoff 404', 'danoff 404 404d', 'danoff 404 404d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 4', 'danoff 405', 'danoff 405 405a', 'danoff 405 405a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 4', 'danoff 405', 'danoff 405 405b', 'danoff 405 405b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 4', 'danoff 405', 'danoff 405 405c', 'danoff 405 405c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 4', 'danoff 405', 'danoff 405 405d', 'danoff 405 405d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 4', 'danoff 411', 'danoff 411 411a', 'danoff 411 411a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 4', 'danoff 411', 'danoff 411 411b', 'danoff 411 411b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 4', 'danoff 411', 'danoff 411 411c', 'danoff 411 411c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 4', 'danoff 411', 'danoff 411 411d', 'danoff 411 411d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 4', 'danoff 420', 'danoff 420 420a', 'danoff 420 420a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['danoff hall', 'danoff fl 4', 'danoff 420', 'danoff 420 420b', 'danoff 420 420b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

